Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1909079,ZD6719328,First Flight,,--,delhi,29-Nov-2012,Delivered
1909115,ZD6716533,First Flight,delhi,29-Nov-2012,kanpur,--,In Transit[Contact]
1909127,ZD6716535,First Flight,delhi,28-Nov-2012,saharanpur,--,In Transit[Contact]
1909183,ZD6716540,First Flight,delhi,28-Nov-2012,gurgaon,3-Dec-2012,Delivered
1909227,ZD6716543,First Flight,delhi,28-Nov-2012,bareilly,29-Nov-2012,Pending
1909233,ZD6716545,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1909243,ZD6716550,First Flight,delhi,29-Nov-2012,raibarely,1-Dec-2012,Pending
1909277,ZD6716552,First Flight,delhi,29-Nov-2012,anpara,--,In Transit[Contact]
1909289,ZD6716554,First Flight,delhi,29-Nov-2012,ajmer,3-Dec-2012,Delivered
1909319,ZD6716556,First Flight,delhi,28-Nov-2012,mohali,30-Nov-2012,Pending
1909331,ZD6716558,First Flight,delhi,28-Nov-2012,udaipur,3-Dec-2012,Pending
1909361,ZD6716564,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1909436,ZD6716572,First Flight,delhi,28-Nov-2012,kurukshetra,29-Nov-2012,Pending
1909472,ZD6716575,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Pending
1909545,ZD6716589,First Flight,delhi,29-Nov-2012,lucknow,30-Nov-2012,Pending
1909621,ZD6716598,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1909656,ZD6716602,First Flight,delhi,28-Nov-2012,chandigarh,30-Nov-2012,Pending
1909767,ZD6716923,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1909805,ZD6716621,First Flight,delhi,28-Nov-2012,rudrapur,1-Dec-2012,Pending
1909875,ZD6719265,First Flight,delhi,28-Nov-2012,bhubaneshwar,29-Nov-2012,Pending
1909958,ZD6716924,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1909959,ZD6716640,First Flight,delhi,28-Nov-2012,noida,--,In Transit[Contact]
1910042,ZD6716925,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910181,ZD6716662,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1910186,ZD6716926,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910194,ZD6719350,First Flight,delhi,28-Nov-2012,thane,--,In Transit[Contact]
1910261,ZD6716927,First Flight,delhi,28-Nov-2012,chandigarh,--,In Transit[Contact]
1910385,ZD6716674,First Flight,delhi,28-Nov-2012,mohali,30-Nov-2012,Pending
1910399,ZD6716929,First Flight,,--,,29-Nov-2012,Pending
1910443,ZD6716930,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910448,ZD6716677,First Flight,delhi,28-Nov-2012,noida,1-Dec-2012,Return to origin
1910530,ZD6716931,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910585,ZD6716932,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1910617,ZD6716698,First Flight,delhi,28-Nov-2012,udaipur,1-Dec-2012,Pending
1910624,ZD6719329,First Flight,delhi,29-Nov-2012,varanasi,3-Dec-2012,Delivered
1910630,ZD6717716,First Flight,delhi,28-Nov-2012,sambalpur,30-Nov-2012,Pending
1910631,ZD6717670,First Flight,delhi,28-Nov-2012,sambalpur,3-Dec-2012,Pending
1910643,ZD6716701,First Flight,delhi,28-Nov-2012,haridwar,--,In Transit[Contact]
1910691,ZD6716707,First Flight,delhi,28-Nov-2012,udaipur,--,In Transit[Contact]
1910716,ZD6716711,First Flight,delhi,28-Nov-2012,kota,30-Nov-2012,Pending
