Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1890200,Z77928953,DTDC,,,,,
1890208,Z77928955,DTDC,,,,,
1890209,Z77928956,DTDC,,,,,
1890212,Z77928958,DTDC,,,,,
1890213,Z77928959,DTDC,,,,,
1890218,Z77928960,DTDC,,,,,
1890219,Z77928961,DTDC,,,,,
1890220,Z77928962,DTDC,,,,,
1890221,Z77928963,DTDC,,,,,
1890226,Z77928966,DTDC,,,,,
1890229,Z77928967,DTDC,,,,,
1890232,Z77928968,DTDC,,,,,
1890233,Z77928969,DTDC,,,,,
1890237,Z77928971,DTDC,,,,,
1890241,Z77928972,DTDC,,,,,
1890242,Z77928973,DTDC,,,,,
1890262,Z77928994,DTDC,,,,,
1890285,Z77928981,DTDC,,,,,
1890332,Z77928995,DTDC,,,,,
1890362,Z77928974,DTDC,,,,,
1890418,Z77928997,DTDC,,,,,
1890433,Z77928998,DTDC,,,,,
1890459,Z77928999,DTDC,,,,,
1890463,Z77928975,DTDC,,,,,
1890464,Z77929000,DTDC,,,,,
1890499,Z77929001,DTDC,,,,,
1890525,Z77928976,DTDC,,,,,
1890541,Z77929002,DTDC,,,,,
1890564,Z77929003,DTDC,,,,,
1890580,Z77929004,DTDC,,,,,
1890609,Z77929005,DTDC,,,,,
1890614,Z77929006,DTDC,,,,,
1890627,Z77929007,DTDC,,,,,
1890655,Z77928982,DTDC,,,,,
1890657,Z77928977,DTDC,,,,,
1890666,Z77929008,DTDC,,,,,
1890707,Z77929009,DTDC,,,,,
1890736,Z77929010,DTDC,,,,,
1890749,Z77928978,DTDC,,,,,
1890759,Z77929011,DTDC,,,,,
1890801,Z77928979,DTDC,,,,,
1890821,Z77929012,DTDC,,,,,
1890881,Z77929013,DTDC,,,,,
1890882,Z77929014,DTDC,,,,,
1890895,Z77929015,DTDC,,,,,
1890915,Z77929016,DTDC,,,,,
1890925,Z77929017,DTDC,,,,,
1890926,Z77928980,DTDC,,,,,
1890971,Z77929018,DTDC,,,,,
1890973,Z77929019,DTDC,,,,,
1890979,Z77929020,DTDC,,,,,
1890990,Z77928989,DTDC,,,,,
1891041,Z77929021,DTDC,,,,,
1891114,Z77929022,DTDC,,,,,
1891142,Z77929023,DTDC,,,,,
1891156,Z77929024,DTDC,,,,,
1891161,Z77929025,DTDC,,,,,
1891183,Z77928983,DTDC,,,,,
1891220,Z77929026,DTDC,,,,,
1891227,Z77929027,DTDC,,,,,
1891232,Z77929028,DTDC,,,,,
1891253,Z77929029,DTDC,,,,,
1891284,Z77929030,DTDC,,,,,
1891307,Z77929031,DTDC,,,,,
1891317,Z77929032,DTDC,,,,,
1891356,Z77929033,DTDC,,,,,
1891380,Z77929034,DTDC,,,,,
1891402,Z77929035,DTDC,,,,,
1891411,Z77929036,DTDC,,,,,
1891423,Z77929037,DTDC,,,,,
1891428,Z77929038,DTDC,,,,,
1891431,Z77929039,DTDC,,,,,
1891438,Z77929210,DTDC,,,,,
1891486,Z77929040,DTDC,,,,,
1891538,Z77929041,DTDC,,,,,
1891545,Z77929042,DTDC,,,,,
1891596,Z77929043,DTDC,,,,,
1891602,Z77929044,DTDC,,,,,
1891613,Z77929045,DTDC,,,,,
1891645,Z77929046,DTDC,,,,,
1891651,Z77929047,DTDC,,,,,
1891655,Z77929048,DTDC,,,,,
1891659,Z77929049,DTDC,,,,,
1891663,Z77929050,DTDC,,,,,
1891668,Z77929051,DTDC,,,,,
1891715,Z77929052,DTDC,,,,,
1891723,Z77929053,DTDC,,,,,
1891750,Z77929054,DTDC,,,,,
1891766,Z77929055,DTDC,,,,,
1891769,Z77929056,DTDC,,,,,
1891771,Z77929057,DTDC,,,,,
1891837,Z77929058,DTDC,,,,,
1891876,Z77929059,DTDC,,,,,
1891958,Z77929060,DTDC,,,,,
1891979,Z77929061,DTDC,,,,,
1891982,Z77929062,DTDC,,,,,
1891983,Z77929063,DTDC,,,,,
1892035,Z77929064,DTDC,,,,,
1892077,Z77929065,DTDC,,,,,
1892121,Z77929066,DTDC,,,,,
1892144,Z77929067,DTDC,,,,,
1892173,Z77929068,DTDC,,,,,
1892218,Z77929069,DTDC,,,,,
1892229,Z77929070,DTDC,,,,,
1892262,Z77929071,DTDC,,,,,
1892274,Z77929072,DTDC,,,,,
1892284,Z77929073,DTDC,,,,,
1892296,Z77929074,DTDC,,,,,
1892311,Z77929075,DTDC,,,,,
1892314,Z77929076,DTDC,,,,,
1892355,Z77929077,DTDC,,,,,
1892360,Z77929078,DTDC,,,,,
1892404,Z77929211,DTDC,,,,,
1892424,Z77929079,DTDC,,,,,
1892435,Z77929080,DTDC,,,,,
1892458,Z77929081,DTDC,,,,,
1892489,Z77929082,DTDC,,,,,
1892502,Z77928984,DTDC,,,,,
1892536,Z77929083,DTDC,,,,,
1892578,Z77929084,DTDC,,,,,
1892593,Z77929085,DTDC,,,,,
1892637,Z77929086,DTDC,,,,,
1892638,Z77929087,DTDC,,,,,
1892677,Z77929167,DTDC,,,,,
1892681,Z77929088,DTDC,,,,,
1892720,Z77929089,DTDC,,,,,
1892727,Z77929090,DTDC,,,,,
1892754,Z77929091,DTDC,,,,,
1892771,Z77929092,DTDC,,,,,
1892786,Z77929093,DTDC,,,,,
1892796,Z77929094,DTDC,,,,,
1892825,Z77929095,DTDC,,,,,
1892828,Z77929096,DTDC,,,,,
1892847,Z77929097,DTDC,,,,,
1892853,Z77929098,DTDC,,,,,
1892860,Z77929099,DTDC,,,,,
1892880,Z77929100,DTDC,,,,,
1892898,Z77929101,DTDC,,,,,
1892908,Z77929102,DTDC,,,,,
1892934,Z77929103,DTDC,,,,,
1892935,Z77929104,DTDC,,,,,
1892941,Z77929105,DTDC,,,,,
1892977,Z77929106,DTDC,,,,,
1892980,b88479988,DTDC,,,,,
1893009,Z77929107,DTDC,,,,,
1893041,Z77929108,DTDC,,,,,
1893068,Z77928985,DTDC,,,,,
1893077,Z77929109,DTDC,,,,,
1893260,Z77929141,DTDC,,,,,
1893327,Z77929158,DTDC,,,,,
1893393,Z77929216,DTDC,,,,,
1894119,Z77929201,DTDC,,,,,
1894147,Z77929202,DTDC,,,,,
1894460,Z77929168,DTDC,,,,,
1894499,X01555851,DTDC,,,,,
1894556,A24664777,DTDC,,,,,
1894608,Z77929169,DTDC,,,,,
1894687,Z77929172,DTDC,,,,,
1894725,Z77928992,DTDC,,,,,
1894762,Z77928993,DTDC,,,,,
1894882,Z77928986,DTDC,,,,,
1894918,Z77928987,DTDC,,,,,
1895201,Z77929212,DTDC,,,,,
1895208,Z77929170,DTDC,,,,,
