Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1881467,Z77928888,DTDC,,,SILCHAR,Sat, Dec 01, 2012 0:17 AM,DELIVERED
1882895,Z77928846,DTDC,,,AMBALA,Fri, Dec 07, 2012 11:27 AM,DELIVERED
1883219,Z77928847,DTDC,,,BANKURA,,RTO IN TRANSIT
1883505,X01555873,DTDC,,,SILCHAR,Mon, Dec 03, 2012 1:20 PM,DELIVERED
1883761,Z77928894,DTDC,,,SRINAGAR -JK,,IN TRANSIT
1883767,Z77928864,DTDC,,,PUNE,,IN TRANSIT
1884161,Z77928896,DTDC,,,DELHI,,REVERTED
1884489,Z77928879,DTDC,,,VARANASI,Wed, Dec 05, 2012 3:20 PM,DELIVERED
1881136,Z78623656,DTDC,,,GUWAHATI,Tue, Nov 27, 2012 3:25 PM,DELIVERED
1881212,Z78623656,DTDC,,,GUWAHATI,Tue, Nov 27, 2012 3:25 PM,DELIVERED
1881405,Z78623656,DTDC,,,GUWAHATI,Tue, Nov 27, 2012 3:25 PM,DELIVERED
1884009,k59084963,DTDC,,,ARIYALUR,Sat, Dec 01, 2012 11:20 AM,DELIVERED
1884344,H10299304,DTDC,,,COCHIN,,IN TRANSIT
1887642,k59084965,DTDC,,,BELGAUM,Tue, Nov 27, 2012 0:00 PM,DELIVERED
1843406,Z77930039,DTDC,,,MUMBAI,,RTO IN TRANSIT
1853703,B88193393,DTDC,,,JAMMU,Sat, Dec 01, 2012 0:00 PM,DELIVERED
1869610,Z78498265,DTDC,,,COCHIN,,IN TRANSIT
1872426,D11297275,DTDC,,,DELHI,Wed, Dec 05, 2012 1:30 PM,DELIVERED
1874219,D11297277,DTDC,,,MUMBAI,Mon, Dec 03, 2012 0:40 PM,DELIVERED
1883348,Z77928813,DTDC,,,ONGOLE,,ATTEMPTED
1883365,Z77928814,DTDC,,,ONGOLE,,ATTEMPTED
1883448,Z77928815,DTDC,,,ONGOLE,,ATTEMPTED
1883788,Z77928817,DTDC,,,,,
1883800,Z77928818,DTDC,,,ONGOLE,,ATTEMPTED
1884282,Z77928825,DTDC,,,KANPUR,,IN TRANSIT
1884451,Z77928826,DTDC,,,COCHIN,,IN TRANSIT
1884525,Z77928829,DTDC,,,DELHI,,IN TRANSIT
1884765,Z77928905,DTDC,,,JALGAON,Fri, Nov 30, 2012 0:30 PM,DELIVERED
1885029,D11297271,DTDC,,,AURANGABAD MH,Tue, Dec 04, 2012 2:20 PM,DELIVERED
1885050,Z77928925,DTDC,,,BANGALORE,Sat, Dec 01, 2012 1:15 PM,DELIVERED
1885263,X01555844,DTDC,,,DELHI,,RTO IN TRANSIT
1885325,Z77928919,DTDC,,,NAGPUR,,IN TRANSIT
1885445,Z77928899,DTDC,,,NAGPUR,Mon, Dec 03, 2012 1:15 PM,DELIVERED
1885729,D11297268,DTDC,,,RATLAM,Wed, Dec 05, 2012 3:00 PM,DELIVERED
1885765,Z77928902,DTDC,,,CHAMBA,Fri, Dec 07, 2012 11:27 AM,DELIVERED
1886092,D11297269,DTDC,,,BAGALKOT,Tue, Dec 04, 2012 10:15 AM,DELIVERED
1886729,Z77928911,DTDC,,,CHAMBA,Fri, Dec 07, 2012 11:27 AM,DELIVERED
1886875,B88193394,DTDC,,,DELHI,Thu, Dec 06, 2012 0:00 PM,DELIVERED
1886937,Z77928921,DTDC,,,SITAPUR,Mon, Dec 03, 2012 0:00 PM,DELIVERED
1886997,Z77928923,DTDC,,,GUWAHATI,,FDM MANIFEST PREPARED
1887179,Z77928853,DTDC,,,SRINAGAR -JK,,IN TRANSIT
1888339,D11297276,DTDC,,,FARIDABAD,Mon, Dec 03, 2012 0:30 PM,DELIVERED
1888444,Z77928851,DTDC,,,FORBESGANJ,Fri, Nov 30, 2012 11:35 AM,DELIVERED
